id,sex,age_adjusted,age_cat,,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,,,
3,Male,31,25 - 45,,African-American,0,3,0,0,0,,,25 - 45
4,Male,21,Less than 25,,African-American,0,4,0,1,4,,,Less than 25
7,Male,42,25 - 45,,Other,0,1,0,0,0,,,25 - 45
8,Male,39,25 - 45,,Caucasian,0,6,0,0,14,,,25 - 45
9,Male,40,25 - 45,,Other,0,4,0,0,3,,,25 - 45
14,Male,25,25 - 45,,Caucasian,0,4,0,0,0,,,25 - 45
15,Male,21,Less than 25,,African-American,0,6,0,0,3,,,Less than 25
16,Female,34,25 - 45,,Caucasian,0,1,0,0,0,,,25 - 45
18,Male,38,25 - 45,,African-American,0,4,0,0,0,,,25 - 45
19,Female,45,Greater than 45,,Caucasian,0,1,0,0,1,,,Greater than 45
21,Male,35,25 - 45,,Hispanic,0,1,0,0,0,,,25 - 45
24,Male,29,25 - 45,,Caucasian,0,3,0,0,5,,,25 - 45
25,Male,62,Greater than 45,,African-American,0,6,0,0,13,,,Greater than 45
26,Male,18,Less than 25,,African-American,0,9,0,0,1,,,Less than 25
27,Male,26,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
28,Female,18,Less than 25,,Caucasian,0,4,0,0,0,,,Less than 25
30,Male,21,Less than 25,,Hispanic,0,4,0,0,1,,,Less than 25
32,Male,40,25 - 45,,Caucasian,0,1,0,0,1,,,25 - 45
33,Male,29,25 - 45,,Other,0,3,0,0,0,,,25 - 45
37,Male,24,25 - 45,,African-American,0,3,0,0,8,,,25 - 45
39,Male,23,25 - 45,,African-American,0,7,0,1,5,,,25 - 45
40,Male,31,25 - 45,,African-American,0,10,0,0,0,,,25 - 45
41,Male,27,25 - 45,,Caucasian,0,9,0,0,9,,,25 - 45
42,Male,30,25 - 45,,African-American,0,8,0,0,4,,,25 - 45
45,Male,53,Greater than 45,,Caucasian,0,1,0,0,0,,,Greater than 45
50,Male,46,Greater than 45,,Other,0,3,0,0,7,,,Greater than 45
52,Female,30,25 - 45,,Caucasian,0,5,0,0,4,,,25 - 45
53,Male,22,Less than 25,,Caucasian,0,2,0,0,1,,,Less than 25
54,Male,31,25 - 45,,African-American,2,9,1,3,21,,,25 - 45
55,Male,25,25 - 45,,Caucasian,0,2,0,0,0,,,25 - 45
57,Male,48,Greater than 45,,African-American,0,1,0,0,2,,,Greater than 45
59,Male,27,25 - 45,,Caucasian,0,2,0,0,2,,,25 - 45
61,Female,48,Greater than 45,,African-American,0,2,0,0,7,,,Greater than 45
64,Male,27,25 - 45,,African-American,0,7,0,0,0,,,25 - 45
66,Male,23,25 - 45,,Caucasian,0,10,0,0,9,,,25 - 45
70,Male,26,25 - 45,,African-American,0,4,0,0,0,,,25 - 45
72,Female,26,25 - 45,,Other,0,2,0,0,0,,,25 - 45
79,Male,28,25 - 45,,African-American,0,5,0,1,15,,,25 - 45
80,Male,21,Less than 25,,African-American,0,4,0,0,2,,,Less than 25
83,Male,27,25 - 45,,Hispanic,0,7,0,0,0,,,25 - 45
85,Male,50,Greater than 45,,Caucasian,0,5,0,0,8,,,Greater than 45
87,Male,32,25 - 45,,African-American,0,3,0,0,5,,,25 - 45
90,Male,25,25 - 45,,African-American,1,10,1,2,15,,,25 - 45
91,Male,35,25 - 45,,Caucasian,0,2,0,0,4,,,25 - 45
93,Male,20,Less than 25,,African-American,0,4,0,1,1,,,Less than 25
96,Male,26,25 - 45,,African-American,0,9,0,0,4,,,25 - 45
97,Male,58,Greater than 45,,Hispanic,0,1,0,0,0,,,Greater than 45
98,Male,25,25 - 45,,African-American,0,6,1,0,6,,,25 - 45
99,Male,31,25 - 45,,Other,0,1,0,0,0,,,25 - 45
100,Female,53,Greater than 45,,African-American,0,1,0,0,0,,,Greater than 45
105,Male,36,25 - 45,,African-American,0,4,0,0,1,,,25 - 45
107,Male,26,25 - 45,,African-American,0,6,0,0,5,,,25 - 45
108,Male,25,25 - 45,,Caucasian,0,6,0,1,1,,,25 - 45
119,Male,29,25 - 45,,African-American,0,2,0,0,0,,,25 - 45
120,Male,38,25 - 45,,African-American,0,2,0,0,1,,,25 - 45
122,Male,26,25 - 45,,African-American,0,10,0,0,8,,,25 - 45
127,Male,48,Greater than 45,,Other,0,1,0,0,0,,,Greater than 45
128,Male,22,25 - 45,,African-American,1,10,6,1,14,,,25 - 45
131,Male,19,Less than 25,,African-American,1,9,0,0,2,,,Less than 25
137,Male,34,25 - 45,,African-American,0,7,0,0,9,,,25 - 45
138,Male,23,25 - 45,,Caucasian,0,8,0,0,7,,,25 - 45
139,Male,18,Less than 25,,Other,0,6,0,0,1,,,Less than 25
142,Male,23,25 - 45,,Caucasian,0,8,0,0,9,,,25 - 45
